Image,ESPCN PSNR,BICUBIC PSNR,Upscale
000001.png,23.141719818115234,22.60495376586914,2
000002.png,31.96935272216797,31.46998405456543,2
000003.png,37.9312744140625,38.31957244873047,2
000004.png,22.919466018676758,22.62212562561035,2
000005.png,34.96353530883789,33.62985610961914,2
000006.png,29.336536407470703,28.430908203125,2
000007.png,28.8371639251709,27.815677642822266,2
000008.png,29.680097579956055,27.83289909362793,2
000009.png,28.35761260986328,27.950498580932617,2
000010.png,31.85028076171875,31.15035629272461,2
000011.png,38.410640716552734,37.66048812866211,2
000012.png,34.26491165161133,32.795501708984375,2
000013.png,29.453393936157227,28.76837158203125,2
000014.png,32.230369567871094,31.469268798828125,2
000015.png,32.62831115722656,31.99260711669922,2
000016.png,34.51239776611328,33.645816802978516,2
000017.png,33.761375427246094,33.63677978515625,2
000018.png,26.86920928955078,26.11499786376953,2
000019.png,30.935619354248047,29.914644241333008,2
000020.png,31.579620361328125,30.88066291809082,2
000021.png,34.60760498046875,33.279151916503906,2
000022.png,33.10816955566406,32.57833480834961,2
000023.png,28.178396224975586,27.4710750579834,2
000024.png,27.78162384033203,27.01953125,2
000025.png,31.704544067382812,31.083717346191406,2
000026.png,32.91981887817383,32.113807678222656,2
000027.png,35.27172088623047,34.732933044433594,2
000028.png,31.56353187561035,31.305513381958008,2
000029.png,32.62261199951172,31.584760665893555,2
000030.png,30.476306915283203,30.31216049194336,2
