Image,ESPCN PSNR,BICUBIC PSNR,Upscale
000001.png,20.79300308227539,20.32516860961914,6
000002.png,25.51314353942871,24.830930709838867,6
000003.png,30.70285415649414,30.69147300720215,6
000004.png,21.813554763793945,21.516149520874023,6
000005.png,26.805830001831055,25.89195442199707,6
000006.png,23.7803955078125,23.367616653442383,6
000007.png,23.640260696411133,22.598573684692383,6
000008.png,23.250600814819336,22.098697662353516,6
000009.png,24.429553985595703,23.833477020263672,6
000010.png,26.539247512817383,25.68326187133789,6
000011.png,29.904457092285156,27.930404663085938,6
000012.png,25.7725887298584,25.318777084350586,6
000013.png,25.308048248291016,24.862289428710938,6
000014.png,26.57229232788086,25.426647186279297,6
000015.png,25.788515090942383,24.898778915405273,6
000016.png,28.379779815673828,27.884700775146484,6
000017.png,26.984426498413086,25.824586868286133,6
000018.png,22.161195755004883,21.928085327148438,6
000019.png,23.657184600830078,23.3533878326416,6
000020.png,25.144397735595703,24.332015991210938,6
000021.png,27.4609375,26.099124908447266,6
000022.png,26.600250244140625,25.911304473876953,6
000023.png,24.084022521972656,23.461074829101562,6
000024.png,23.820161819458008,23.31234359741211,6
000025.png,26.90138816833496,26.293676376342773,6
000026.png,26.313169479370117,25.718233108520508,6
000027.png,27.29661750793457,26.630460739135742,6
000028.png,26.309072494506836,26.121105194091797,6
000029.png,25.45758819580078,25.04290771484375,6
000030.png,25.833675384521484,25.597265243530273,6
